,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
211,Dr. Jan A. Hiss,Designing antimicrobial peptides: form follows function,Computational methods for calculation of ligand-binding affinity,ETH Zürich,47.413218,8.5374914,District Zurich,Zurich,Zurich,Switzerland
212,Dr. Md Ataul Islam, Identification of Novel Ribonucleotide Reductase Inhibitors for Therapeutic Application in Bile Tract Cancer: An Advanced Pharmacoinformatics Study,"De Azevedo Jr., WF (2008)","Bangalore, India",12.9881567,77.6226,Bangalore North,Bengaluru,Karnataka,India
213,Dr. Rachana Singh,Multi-omics approach in the identification of potential therapeutic biomolecule for COVID-19,Genotype imputation and variability in polygenic risk score estimation,Amity University,41.3325302,69.2642622,Shaykhantahur District,Tashkent,,Uzbekistan
214,Dr. Rachana Singh,Multi-omics approach in the identification of potential therapeutic biomolecule for COVID-19,Genotype imputation and variability in polygenic risk score estimation,"Assistant Professor, Amity University, Lucknow Campus, Lucknow",,,,,,
215,Dr. Rachana Singh,Multi-omics approach in the identification of potential therapeutic biomolecule for COVID-19,Genotype imputation and variability in polygenic risk score estimation,Lucknow,26.8381,80.9346001,Lucknow,Lucknow,Uttar Pradesh,India
216,Dr. Rachana Singh,Multi-omics approach in the identification of potential therapeutic biomolecule for COVID-19,Genotype imputation and variability in polygenic risk score estimation,Lucknow Campus,24.8228361,67.121022,,Karachi Division,,Pakistan
217,Dr. Sneha Rai, Recent trends in in-silico drug discovery,"De Azevedo Jr., WF (2008)",NSIT,28.6109477,77.0384563,Dwarka Tehsil,Dwarka,Delhi,India
218,Dr. Sneha Rai, Recent trends in in-silico drug discovery,"De Azevedo Jr., WF (2008)",New Delhi,28.6430858,77.2192671,Kotwali Tehsil,Delhi,Delhi,India
219,Dr. Tesfaye Wubet,"Mineral vs. organic amendments: microbial community structure, activity and abundance of agriculturally relevant microbes are driven by long-term fertilization …",Soil pH determines microbial diversity and composition in the park grass experiment,"Helmholtz Center for Environmental Research - UFZ, Department of Community Ecology",,,,,,
220,Dr. Walter F. de Azevedo Jr, Development of a machine-learning model to predict Gibbs free energy of binding for protein-ligand complexes,Evaluation of ligand-binding affinity using polynomial empirical scoring functions,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
221,Dr. Walter F. de Azevedo Jr,Bio-inspired algorithms applied to molecular docking simulations,"De Azevedo Jr., WF (2008)",Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
222,Dr. Walter F. de Azevedo Jr,Bio-inspired algorithms applied to molecular docking simulations,Evaluation of ligand-binding affinity using polynomial empirical scoring functions,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
223,Dr. Walter F. de Azevedo Jr,Bio-inspired algorithms applied to molecular docking simulations,Structural studies of human purine nucleoside phosphorylase: towards a new specific empirical scoring function,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
224,Dr. Walter F. de Azevedo Jr,Bioinformatics tools for screening of antiparasitic drugs,"De Azevedo Jr., WF (2008)",Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
225,Dr. Walter F. de Azevedo Jr,Computational methods for calculation of ligand-binding affinity,Evaluation of ligand-binding affinity using polynomial empirical scoring functions,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
226,Dr. Walter F. de Azevedo Jr,Experimental approaches to evaluate the thermodynamics of protein-drug interactions,"De Azevedo Jr., WF (2008)",Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
227,Dr. Walter F. de Azevedo Jr,Experimental approaches to evaluate the thermodynamics of protein-drug interactions,Evaluation of ligand-binding affinity using polynomial empirical scoring functions,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
228,Dr. Walter F. de Azevedo Jr,Homology modeling of protein targets with MODELLER,Computational methods for calculation of ligand-binding affinity,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
229,Dr. Walter F. de Azevedo Jr,Homology modeling of protein targets with MODELLER,Evaluation of ligand-binding affinity using polynomial empirical scoring functions,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
230,Dr. Walter F. de Azevedo Jr,Homology modeling of protein targets with MODELLER,Evaluation of molecular docking using polynomial empirical scoring functions,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
231,Dr. Walter F. de Azevedo Jr,Homology modeling of protein targets with MODELLER,Structural studies of human purine nucleoside phosphorylase: towards a new specific empirical scoring function,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
232,Dr. Walter F. de Azevedo Jr,Machine learning to predict binding affinity,Evaluation of ligand-binding affinity using polynomial empirical scoring functions,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
233,Dr. Walter F. de Azevedo Jr,Machine learning to predict binding affinity,Evaluation of molecular docking using polynomial empirical scoring functions,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
234,Dr. Walter F. de Azevedo Jr,MolDock applied to structure-based virtual screening,Computational methods for calculation of ligand-binding affinity,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
235,Dr. Walter F. de Azevedo Jr,MolDock applied to structure-based virtual screening,Evaluation of molecular docking using polynomial empirical scoring functions,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
236,Dr. Walter F. de Azevedo Jr,MolDock applied to structure-based virtual screening,Structural studies of human purine nucleoside phosphorylase: towards a new specific empirical scoring function,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
237,Dr. Walter F. de Azevedo Jr,Molecular docking algorithms,Evaluation of ligand-binding affinity using polynomial empirical scoring functions,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
238,Dr. Walter F. de Azevedo Jr,Molecular docking algorithms,Structural studies of human purine nucleoside phosphorylase: towards a new specific empirical scoring function,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
239,Dr. Walter F. de Azevedo Jr,Molecular docking simulations with ArgusLab,Computational methods for calculation of ligand-binding affinity,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
240,Dr. Walter F. de Azevedo Jr,Molecular dynamics simulations of protein targets identified in Mycobacterium tuberculosis,"De Azevedo Jr., WF (2008)",Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
241,Dr. Walter F. de Azevedo Jr,Molecular dynamics simulations of protein targets identified in Mycobacterium tuberculosis,Evaluation of ligand-binding affinity using polynomial empirical scoring functions,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
242,Dr. Walter F. de Azevedo Jr,Optimized virtual screening workflow: Towards target-based polynomial scoring functions for HIV-1 protease,Evaluation of ligand-binding affinity using polynomial empirical scoring functions,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
243,Dr. Walter F. de Azevedo Jr,Protein-drug interaction studies for development of drugs against Plasmodium falciparum,"De Azevedo Jr., WF (2008)",Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
244,Dr. Walter F. de Azevedo Jr,Selection of targets for drug development against protozoan parasites,"De Azevedo Jr., WF (2008)",Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
245,Dr. Walter F. de Azevedo Jr,"Shikimate kinase, a protein target for drug design",Computational methods for calculation of ligand-binding affinity,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
246,Dr. Walter F. de Azevedo Jr,"Shikimate kinase, a protein target for drug design",Evaluation of ligand-binding affinity using polynomial empirical scoring functions,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
247,Dr. Walter F. de Azevedo Jr,"Shikimate kinase, a protein target for drug design",Evaluation of molecular docking using polynomial empirical scoring functions,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
248,Dr. Walter F. de Azevedo Jr,[BOOK][B] Docking screens for drug discovery,Computational methods for calculation of ligand-binding affinity,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
249,Dr. Walter F. de Azevedo Jr,[BOOK][B] Docking screens for drug discovery,Experimental approaches to evaluate the thermodynamics of protein-drug interactions,Universidade Federal de Alfenas,-21.4200875,-45.9490589,,,Minas Gerais,Brazil
250,Duanqing Pei,Challenges and advances in clinical applications of mesenchymal stromal cells,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Westlake University,30.3359809,120.0319713,,Xihu District,Zhejiang,China
251,Edel Pérez-López,"Progress and Obstacles in Culturing 'Candidatus Liberibacter asiaticus', the Bacterium Associated with Huanglongbing","Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens",Université Laval,46.7811622,-71.2768002,Urban agglomeration of Québec,Quebec,Quebec,Canada
252,Edina Avdovic," Synthesis, spectroscopic characterization, biological activity, DFT and molecular docking study of novel 4-hydroxycoumarine derivatives and corresponding …",Evaluation of molecular docking using polynomial empirical scoring functions,University of Kragujevac,44.0225067,20.9204031,Sumadija Administrative District,Kragujevac,Central Serbia,Serbia
253,Edina Avdovic,"Inhibitory activity of quercetin, its metabolite, and standard antiviral drugs towards enzymes essential for SARS-CoV-2: The role of acid–base equilibria",Evaluation of molecular docking using polynomial empirical scoring functions,University of Kragujevac,44.0225067,20.9204031,Sumadija Administrative District,Kragujevac,Central Serbia,Serbia
254,Eduardo Valencia-Cantero, Underground fires shape the structure of microbial communities and select for thermophilic bacteria through a temperature gradient,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,Universidad Michoacana de San Nicolás de Hidalgo,19.6892955,-101.2066338,Morelia,Morelia,Michoacán,Mexico
255,El-houssaine ABLOUH, Polymer coated slow/controlled release granular fertilizers: Fundamentals and research trends,Soil pH determines microbial diversity and composition in the park grass experiment,Mohammed VI Polytechnic University,32.2184862,-7.9361419,Pachalik de Benguerir باشوية ابن جرير,Ben Guerir,,Morocco
256,El-houssaine ABLOUH, Polymer coated slow/controlled release granular fertilizers: Fundamentals and research trends,Soil pH determines microbial diversity and composition in the park grass experiment,Researcher,,,,,,
257,El-houssaine ABLOUH, Polymer coated slow/controlled release granular fertilizers: Fundamentals and research trends,Soil pH determines microbial diversity and composition in the park grass experiment,"Researcher, Mohammed VI Polytechnic University",,,,,,
258,Eleni Geromichalou, Overview on the current status of virtual high-throughput screening and combinatorial chemistry approaches in multi-target anticancer drug discovery; Part I,Computational methods for calculation of ligand-binding affinity,Postdoctoral Associate,,,,,,
259,Eleni Geromichalou, Overview on the current status of virtual high-throughput screening and combinatorial chemistry approaches in multi-target anticancer drug discovery; Part I,Computational methods for calculation of ligand-binding affinity,"Postdoctoral Associate, Weill Cornell Medicine",,,,,,
260,Eleni Geromichalou, Overview on the current status of virtual high-throughput screening and combinatorial chemistry approaches in multi-target anticancer drug discovery; Part I,Computational methods for calculation of ligand-binding affinity,Weill Cornell Medicine,40.767009,-73.9547002,New York County,New York,New York,United States
261,Elizabeth Williams,"Deep learning in cancer diagnosis, prognosis and treatment selection",Artificial intelligence in clinical and genomic diagnostics,Queensland University of Technology,-27.542195,153.0649526,,,Queensland,Australia
262,Emily B. Hollister,Structure and function of the healthy pre-adolescent pediatric gut microbiome,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Sandia National Laboratories,37.6736516,-121.7072096,Alameda County,Livermore,California,United States
263,Emily L. Cardarelli,Diverse ecophysiological adaptations of subsurface Thaumarchaeota in floodplain sediments revealed through genome-resolved metagenomics,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,UCLA,34.0708777,-118.4468503,Los Angeles County,Los Angeles,California,United States
264,Eric Alan Franzosa,The human gut microbiome in early-onset type 1 diabetes from the TEDDY study,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Senior Research Scientist / Harvard T. H. Chan School of Public Health,,,,,,
265,Eric Boyd,Expanded Diversity and Phylogeny of mer Genes Broadens Mercury Resistance Paradigms and Reveals an Origin for MerA Among Thermophilic Archaea,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,Montana State University,45.6638859,-111.079287,Gallatin County,Bozeman,Montana,United States
266,Eric Topol,Artificial intelligence in surgery,Artificial intelligence in clinical and genomic diagnostics,EVP,43.2934443,5.4210904,Bouches-du-Rhône,Marseille,Provence-Alpes-Côte d'Azur,France
267,Eric Topol,Artificial intelligence in surgery,Artificial intelligence in clinical and genomic diagnostics,"Professor and EVP, Scripps Research",,,,,,
268,Eric Topol,Artificial intelligence in surgery,Artificial intelligence in clinical and genomic diagnostics,Scripps Research,32.8937974,-117.2426728,San Diego County,San Diego,California,United States
269,Eric Wu,How medical AI devices are evaluated: limitations and recommendations from an analysis of FDA approvals,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Stanford University,37.4313138,-122.1693654,Santa Clara County,,California,United States
270,Erica M. Weidler,Structure and function of the healthy pre-adolescent pediatric gut microbiome,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Clinical Researcher,,,,,,
271,Erica M. Weidler,Structure and function of the healthy pre-adolescent pediatric gut microbiome,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,"Clinical Researcher, Phoenix Children's Hospital",,,,,,
272,Erica M. Weidler,Structure and function of the healthy pre-adolescent pediatric gut microbiome,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Phoenix Children's Hospital,33.4789195,-112.0410726,Maricopa County,Phoenix,Arizona,United States
273,Erik Holmqvist,RNA-binding proteins in bacteria,Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,Uppsala University,59.8559511,17.663355,Uppsala County,Uppsala,,Sweden
274,Eva d'Hennezel,Variation in microbiome LPS immunogenicity contributes to autoimmunity in humans,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Novartis Institutes for Biomedical Research,42.3609988,-71.0974915,Middlesex County,Cambridge,Massachusetts,United States
275,Ewen M Harrison,Artificial intelligence in surgery,Artificial intelligence in clinical and genomic diagnostics,Data Science,51.6090791,-3.9831441,Swansea,Swansea,Wales,United Kingdom
276,Ewen M Harrison,Artificial intelligence in surgery,Artificial intelligence in clinical and genomic diagnostics,"Professor of Surgery and Data Science, University of Edinburgh",,,,,,
277,Ewen M Harrison,Artificial intelligence in surgery,Artificial intelligence in clinical and genomic diagnostics,University of Edinburgh,55.9440764,-3.1883736,,City of Edinburgh,Scotland,United Kingdom
278,Fatima Menezes Bento, Chemical and microbial storage stability studies and shelf life determinations of commercial Brazilian biodiesels stored in carbon steel containers in …,"Microbial community composition in Brazilian stored diesel fuel of varying sulfur content, using high-throughput sequencing",Universidade Federal do Rio Grande do Sul,-30.033315,-51.219944,Metropolitan Region of Porto Alegre,Porto Alegre,Rio Grande do Sul,Brazil
279,Fatima-Zahra EL BOUCHTAOUI, Polymer coated slow/controlled release granular fertilizers: Fundamentals and research trends,Soil pH determines microbial diversity and composition in the park grass experiment,Benguerir,32.2327363,-7.9465013,Pachalik de Benguerir باشوية ابن جرير,Ben Guerir,,Morocco
280,Fatima-Zahra EL BOUCHTAOUI, Polymer coated slow/controlled release granular fertilizers: Fundamentals and research trends,Soil pH determines microbial diversity and composition in the park grass experiment,Mohammed VI Polytechnic University (UM6P),32.2184862,-7.9361419,Pachalik de Benguerir باشوية ابن جرير,Ben Guerir,,Morocco
281,Fatima-Zahra EL BOUCHTAOUI, Polymer coated slow/controlled release granular fertilizers: Fundamentals and research trends,Soil pH determines microbial diversity and composition in the park grass experiment,"Ph.D. Researcher at Mohammed VI Polytechnic University (UM6P), Benguerir",,,,,,
282,Fen Zhang,Gut microbiota composition reflects disease severity and dysfunctional immune responses in patients with COVID-19,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Chinese university of Hong Kong,22.4137195,114.2098955,,Sha Tin District,Hong Kong,China
283,Francesco Piccialli," A survey on deep learning in medicine: Why, how and when?",Artificial intelligence in clinical and genomic diagnostics,"Professor of Computer Science, University of Naples Federico II, Head of MODAL research lab",,,,,,
284,Francisco M Couto,Semantic similarity for automatic classification of chemical compounds,"De Azevedo Jr., WF (2008)",Departamento de Informática,-25.4506532,-49.2317672,Região Metropolitana de Curitiba,Curitiba,Paraná,Brazil
285,Francisco M Couto,Semantic similarity for automatic classification of chemical compounds,"De Azevedo Jr., WF (2008)",Faculdade de Ciências,38.7599994,-9.157773,Lisbon,Lisbon,,Portugal
286,Francisco M Couto,Semantic similarity for automatic classification of chemical compounds,"De Azevedo Jr., WF (2008)",Universidade de Lisboa,38.7525379,-9.1568456,Lisbon,Lisbon,,Portugal
287,"Francisco Rogênio da Silva Mendes; Mendes, F.R.S.",Ligand and structure-based virtual screening approaches in drug discovery: minireview,Computational methods for calculation of ligand-binding affinity,CE,-5.3264703,-39.7156073,,,Ceará,Brazil
288,"Francisco Rogênio da Silva Mendes; Mendes, F.R.S.",Ligand and structure-based virtual screening approaches in drug discovery: minireview,Computational methods for calculation of ligand-binding affinity,Fortaleza,-3.7304512,-38.5217989,,Fortaleza,Ceará,Brazil
289,"Francisco Rogênio da Silva Mendes; Mendes, F.R.S.",Ligand and structure-based virtual screening approaches in drug discovery: minireview,Computational methods for calculation of ligand-binding affinity,Natural Sciences,-25.771195,28.2066935,City of Tshwane Metropolitan Municipality,Pretoria,Gauteng,South Africa
290,Gabriela Sehnem Heck,SAnDReS a computational tool for statistical analysis of docking results and development of scoring functions,Evaluation of ligand-binding affinity using polynomial empirical scoring functions,PUCRS,-30.0551712,-51.1735106,Metropolitan Region of Porto Alegre,Porto Alegre,Rio Grande do Sul,Brazil
291,Galvao TC,The role of two-component regulatory systems in environmental sensing and virulence in Salmonella,Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,Fiocruz,-22.8757969,-43.2426222,Região Metropolitana do Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,Brazil
292,Galvao TC,The role of two-component regulatory systems in environmental sensing and virulence in Salmonella,Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,Instituto Oswaldo Cruz,-23.2102123,-45.8764544,Região Metropolitana do Vale do Paraíba e Litoral Norte,São José dos Campos,São Paulo,Brazil
293,Gamze Gürsoy,Functional genomics data: privacy risk assessment and technological mitigation,Genotype imputation and variability in polygenic risk score estimation,Columbia University,40.8077558,-73.9616141,New York County,New York,New York,United States
294,Gary S. Collins,TRIPOD+ AI statement: updated guidance for reporting clinical prediction models that use regression or machine learning methods,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,"Professor of Medical Statistics, Centre for Statistics in Medicine, University of Oxford",,,,,,
295,Gary S. Collins,TRIPOD+ AI statement: updated guidance for reporting clinical prediction models that use regression or machine learning methods,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,University of Oxford,51.7587075,-1.2556685,Oxfordshire,Oxford,England,United Kingdom
296,Gaurav Dugar,The CsrA-FliW network controls polar localization of the dual-function flagellin mRNA in Campylobacter jejuni,Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,University of Amsterdam,52.3681334,4.8898042,,Amsterdam,North Holland,Netherlands
297,Gaël Varoquaux,Machine learning for medical imaging: methodological failures and recommendations for the future,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,INRIA,44.8083656,-0.5998368,Gironde,,Nouvelle-Aquitaine,France
298,George Geromichalos, Overview on the current status of virtual high-throughput screening and combinatorial chemistry approaches in multi-target anticancer drug discovery; Part I,Computational methods for calculation of ligand-binding affinity,Aristotle University of Thessaloniki,40.6296704,22.9591611,Thessaloniki Regional Unit,Thessaloniki,Macedonia and Thrace,Greece
299,George Geromichalos, Overview on the current status of virtual high-throughput screening and combinatorial chemistry approaches in multi-target anticancer drug discovery; Part I,Computational methods for calculation of ligand-binding affinity,Chemistry Dept,10.8251117,76.641222,Palakkad,,Kerala,India
300,George M. Garrity,Lists of names of prokaryotic Candidatus taxa,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,Genetics,53.3256563,-6.3209104,County Dublin,Dublin,,Ireland
301,George M. Garrity,Lists of names of prokaryotic Candidatus taxa,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,Immunology,40.7660116,-73.9579873,New York County,New York,New York,United States
302,George M. Garrity,Lists of names of prokaryotic Candidatus taxa,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,Michigan State University,42.7023794,-84.4803869,Ingham County,East Lansing,Michigan,United States
303,George M. Garrity,Lists of names of prokaryotic Candidatus taxa,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,Microbiology,-33.6159088,150.7479317,,Sydney,New South Wales,Australia
304,George M. Garrity,Lists of names of prokaryotic Candidatus taxa,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,"Professor Emeritus, Michigan State University, Microbiology, Genetics and Immunology, NamesforLife",,,,,,
305,Gina Partipilo,"Rewiring native post-transcriptional global regulators to achieve designer, multi-layered genetic circuits",Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,University of California San Francisco,37.7627257,-122.4582568,,San Francisco,California,United States
306,Gislane Lelis Vilela de Oliveira,Intestinal dysbiosis and probiotic applications in autoimmune diseases,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Sao Paulo State University (UNESP),-23.52435,-46.665472,Região Metropolitana de São Paulo,São Paulo,São Paulo,Brazil
307,Glaucius Oliva,Molecular docking and structure-based drug design strategies,Molecular docking algorithms,Instituto de Fisica de São Carlos,-22.0095258,-47.8971625,,São Carlos,São Paulo,Brazil
308,Glaucius Oliva,Molecular docking and structure-based drug design strategies,Molecular docking algorithms,"Senior Professor, Instituto de Fisica de São Carlos, Universidade de São Paulo",,,,,,
309,Glaucius Oliva,Molecular docking and structure-based drug design strategies,Molecular docking algorithms,Universidade de São Paulo,-23.5652201,-46.712583,Região Metropolitana de São Paulo,São Paulo,São Paulo,Brazil
310,Gowthami Mahendran Ph. D., Key players in regulatory RNA realm of bacteria,Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,Indiana University,39.1802358,-86.5093526,Monroe County,Bloomington,Indiana,United States
311,Gregory O'Grady,Artificial intelligence in surgery,Artificial intelligence in clinical and genomic diagnostics,"University of Auckland, New Zealand",-36.8660955,174.7737331,,Auckland,Auckland,New Zealand
312,Gregory Sliwoski,Computational methods in drug discovery,Molecular docking algorithms,Vanderbilt University,36.1438011,-86.8028189,Davidson County,Nashville,Tennessee,United States
313,Guilherme Martins Silva,Key aspects for achieving hits by virtual screening studies,"De Azevedo Jr., WF (2008)",Harvard Medical School,,,,,,
314,Guilherme Martins Silva,Key aspects for achieving hits by virtual screening studies,"De Azevedo Jr., WF (2008)",Postdoctoral Researcher at Harvard Medical School,,,,,,
315,Guiling Ma, Polyphenol supplementation benefits human health via gut microbiota: A systematic review via meta-analysis,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,washington state university,46.7337716,-117.1498035,Whitman County,,Washington,United States
316,Guoyan Zhao,Intestinal virome changes precede autoimmunity in type I diabetes-susceptible children,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,"Department of Genetics and Department of Neurology, Washington University in St. Louis",,,,,,
317,Guoyan Zhao,Intestinal virome changes precede autoimmunity in type I diabetes-susceptible children,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Washington University in St. Louis,38.6472402,-90.3084017,,St. Louis,Missouri,United States
318,Gustavo Santoyo, Underground fires shape the structure of microbial communities and select for thermophilic bacteria through a temperature gradient,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,"Professor of Agrogenomics, Universidad Michoacana de San Nicolás de Hidalgo",,,,,,
319,Gustavo Santoyo, Underground fires shape the structure of microbial communities and select for thermophilic bacteria through a temperature gradient,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,Universidad Michoacana de San Nicolás de Hidalgo,19.6892955,-101.2066338,Morelia,Morelia,Michoacán,Mexico
320,HIMADRI BOSE," Impact of arsenic on microbial community structure and their metabolic potential from rice soils of West Bengal, India",Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,Civil,41.020077,38.926304,,,,Turkey
321,HIMADRI BOSE," Impact of arsenic on microbial community structure and their metabolic potential from rice soils of West Bengal, India",Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,Environmental Engineering,,,,,,
322,HIMADRI BOSE," Impact of arsenic on microbial community structure and their metabolic potential from rice soils of West Bengal, India",Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,Post Doctoral Scholar,,,,,,
323,HIMADRI BOSE," Impact of arsenic on microbial community structure and their metabolic potential from rice soils of West Bengal, India",Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,Post Doctoral Scholar; Civil and Environmental Engineering; University of California Los Angeles,,,,,,
324,HIMADRI BOSE," Impact of arsenic on microbial community structure and their metabolic potential from rice soils of West Bengal, India",Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,University of California Los Angeles,34.0708777,-118.4468503,Los Angeles County,Los Angeles,California,United States
325,Habibah A Wahab, Exploring the molecular interactions between Neoculin and the human sweet taste receptors through computational approaches,"De Azevedo Jr., WF (2008)","Professor, School of Pharmaceutical Sciences, Universiti Sains Malaysia",,,,,,
326,Habibah A Wahab, Exploring the molecular interactions between Neoculin and the human sweet taste receptors through computational approaches,"De Azevedo Jr., WF (2008)",School of Pharmaceutical Sciences,,,,,,
327,Habibah A Wahab, Exploring the molecular interactions between Neoculin and the human sweet taste receptors through computational approaches,"De Azevedo Jr., WF (2008)",Universiti Sains Malaysia,5.3574323,100.3035504,,George Town,Penang,Malaysia
328,Haiyan Chu, Bacterial diversity in soils subjected to long-term chemical fertilization can be more stably maintained with the addition of livestock manure than wheat straw,Soil pH determines microbial diversity and composition in the park grass experiment,Chinese Academy of Sciences,39.9093367,116.3297146,,Beijing,Beijing,China
329,Hanchen Wang,Scientific discovery in the age of artificial intelligence,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Genentech,38.3901767,-121.9482113,Solano County,Vacaville,California,United States
